FID,Long,Lat,Segment,seg_length,n,river_mean,river_medi,river_p20,river_p80,river_min,river_max,land_mean,land_media,land_p20,land_p80,land_min,land_max,width_mean,width_medi,width_p20,width_p80,width_min,width_max,width_sd,averaged,DEM_mean,DEM_median,DEM_p20,DEM_p80,DEM_min,DEM_max,DEM_sd,DEM_n
22,89.126289568000004,22.185508856900000,23,99.999999698600007,3,17.357890250000001,17.966941469999998,13.111620050000001,21.725970690000000,9.874739097999999,24.231990180000000,29.932204909999999,27.729265829999999,26.443514879999999,32.980307119999999,25.586347580000002,36.481001319999997,4.684388249000000,5.046980202000000,4.356360452000000,5.084934436000000,3.895947285000000,5.110237259000000,0.683542046000000,original,3.260550399000000,3.266350000000000,3.105096000000000,3.411257940000000,2.976860000000000,3.517319900000000,0.151997619000000,99
23,89.125421021299999,22.185195751999998,24,99.999967916299994,5,41.622609869999998,41.170952710000002,31.310169269999999,55.161839389999997,19.840753800000002,58.628693970000000,58.659328189999997,60.610096929999997,52.811337889999997,65.143998220000000,43.064616549999997,70.591881970000003,5.493534935000000,5.118397578000000,5.059319922000000,5.965190116000000,4.955204537000000,6.469648198000000,0.646014522000000,original,3.021509391000000,3.058630000000000,2.905284100000000,3.123620000000000,2.791630000000000,3.160209900000000,0.114437558000000,99
24,89.124579260199994,22.185569754900001,25,100.000090091999994,4,24.128583089999999,25.662499210000000,22.572140730000001,26.298591890000001,18.350137990000000,26.839195950000001,34.418251050000002,33.837069110000002,31.330822550000001,37.273206780000002,31.176090840000001,38.822775139999997,5.071508089000000,5.084090010000000,4.918748730000000,5.229300216000000,4.858583255000000,5.259269079000000,0.193454019000000,original,3.274660499000000,3.283764950000000,3.204860080000000,3.373717980000000,3.077940000000000,3.417360100000000,0.095462783000000,100
25,89.123989165200001,22.186283033100000,26,99.999924967400005,4,15.493343680000001,15.313287940000000,11.776772410000000,19.137892650000001,11.645237410000000,19.701561430000002,19.833167570000001,19.053421749999998,17.815429760000001,21.539007049999999,17.199848339999999,24.025978429999999,6.986857775000000,6.906258986000000,6.364230073000000,7.577245960000000,6.161999169000000,7.972913957000000,0.815950991000000,original,3.254638884000000,3.269730100000000,3.144268040000000,3.388392020000000,3.022569900000000,3.438849900000000,0.127261504000000,99
26,89.123512745300005,22.187069051999998,27,99.999973672600007,1,9.696884147000000,9.696884147000000,9.696884147000000,9.696884147000000,9.696884147000000,9.696884147000000,35.997969189999999,35.997969189999999,35.997969189999999,35.997969189999999,35.997969189999999,35.997969189999999,4.371947517000000,4.371947517000000,4.371947517000000,4.371947517000000,4.371947517000000,4.371947517000000,0.754439450000000,averaged,3.171991328000000,3.190020100000000,3.023053940000000,3.362854060000000,2.765160100000000,3.416840100000000,0.169964461000000,99
27,89.123045098600002,22.187859868600000,28,100.000009719999994,3,12.097269660000000,13.787898759999999,10.405491950000000,14.127173190000001,8.150554087000000,14.353356140000001,18.703756760000001,21.496032260000000,14.729884869999999,23.236083749999999,10.219119950000000,24.396118080000001,4.595613928000000,4.189021026000000,4.138508725000000,4.971400551000000,4.104833858000000,5.492986900000000,0.778286938000000,original,3.194981781000000,3.192669950000000,3.132439980000000,3.267405900000000,3.013789900000000,3.321320100000000,0.076626561000000,100
28,89.129018992200002,22.188019239500001,29,99.999970616300004,5,11.737392330000000,11.913469240000000,10.620652180000000,12.917191350000000,6.530363634000000,16.604553689999999,27.666870350000000,26.858500180000000,26.168764280000001,30.211202510000000,24.204080730000001,30.463776719999998,5.161962669000000,5.454811912000000,4.706875758000000,5.489454614000000,4.578286667000000,5.567831288000000,0.464985663000000,original,3.340099892000000,3.321770000000000,3.268472040000000,3.436483960000000,3.138690000000000,3.492610000000000,0.091064629000000,99
29,89.128454637700003,22.187285256500001,30,100.000002824000006,2,6.416933741000000,6.416933741000000,5.748077071000000,7.085790410000000,5.302172625000000,7.531694856000000,24.689701849999999,24.689701849999999,24.564789739999998,24.814613959999999,24.481515000000002,24.897888710000000,5.595219779000000,5.595219779000000,4.904541393000000,6.285898164000000,4.444089136000000,6.746350421000000,1.627944567000000,original,3.157239486000000,3.146075000000000,3.054535980000000,3.322144100000000,2.803849900000000,3.368629900000000,0.129661071000000,100
30,89.127843489599996,22.186588628700001,31,100.000034318000004,7,11.000221789999999,11.013420560000000,8.663281610000000,14.015503190000000,4.666020142000000,15.001073870000001,23.494626220000001,26.222009580000002,15.898770880000001,29.188262210000001,13.141099360000000,33.029181950000002,5.495634205000000,5.621169718000000,5.351932441000000,5.686070317000000,4.978249721000000,5.760905058000000,0.272930776000000,original,3.093373798000000,3.092580100000000,3.051935920000000,3.142847920000000,2.905590100000000,3.209189900000000,0.062379640000000,100
31,89.122569903599995,22.188646821100001,32,100.000015804000000,2,9.083970529000000,9.083970529000000,7.004143449000000,11.163797610000000,5.617592063000000,12.550349000000001,14.078306599999999,14.078306599999999,10.509811830000000,17.646801379999999,8.130815316000000,20.025797890000000,5.619103184000000,5.619103184000000,5.075655244000000,6.162551123000000,4.713356618000000,6.524849749000000,1.280919077000000,original,3.134198690000000,3.136680000000000,3.024036020000000,3.235688100000000,2.831310000000000,3.392299900000000,0.125996570000000,100
